Loan_ID,Gender,Married,Education,Self_Employed,ApplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area
LP001002,1.0,0.0,1,No,5849,,360.0,1.0,Urban
LP001005,1.0,1.0,1,Yes,3000,66.0,360.0,1.0,Urban
LP001006,1.0,1.0,0,No,2583,120.0,360.0,1.0,Urban
LP001008,1.0,0.0,1,No,6000,141.0,360.0,1.0,Urban
LP001011,1.0,1.0,1,Yes,5417,267.0,360.0,1.0,Urban
LP001013,1.0,1.0,0,No,2333,95.0,360.0,1.0,Urban
LP001018,1.0,1.0,1,No,4006,168.0,360.0,1.0,Urban
LP001024,1.0,1.0,1,No,3200,70.0,360.0,1.0,Urban
LP001027,1.0,1.0,1,,2500,109.0,360.0,1.0,Urban
LP001028,1.0,1.0,1,No,3073,200.0,360.0,1.0,Urban
LP001030,1.0,1.0,1,No,1299,17.0,120.0,1.0,Urban
LP001032,1.0,0.0,1,No,4950,125.0,360.0,1.0,Urban
LP001034,1.0,0.0,0,No,3596,100.0,240.0,,Urban
LP001041,1.0,1.0,1,,2600,115.0,,1.0,Urban
LP001046,1.0,1.0,1,No,5955,315.0,360.0,1.0,Urban
LP001066,1.0,1.0,1,Yes,9560,191.0,360.0,1.0,Semiurban
LP001068,1.0,1.0,1,No,2799,122.0,360.0,1.0,Semiurban
LP001073,1.0,1.0,0,No,4226,110.0,360.0,1.0,Urban
LP001087,0.0,0.0,1,,3750,120.0,360.0,1.0,Semiurban
LP001098,1.0,1.0,1,No,3500,114.0,360.0,1.0,Semiurban
LP001106,1.0,1.0,1,No,2275,,360.0,1.0,Urban
LP001112,0.0,1.0,1,No,3667,144.0,360.0,1.0,Semiurban
LP001114,1.0,0.0,1,No,4166,184.0,360.0,1.0,Urban
LP001116,1.0,0.0,0,No,3748,110.0,360.0,1.0,Semiurban
LP001120,1.0,0.0,1,No,1800,47.0,360.0,1.0,Urban
LP001123,1.0,1.0,1,No,2400,75.0,360.0,,Urban
LP001131,1.0,1.0,1,No,3941,134.0,360.0,1.0,Semiurban
LP001136,1.0,1.0,0,Yes,4695,96.0,,1.0,Urban
LP001137,0.0,0.0,1,No,3410,88.0,,1.0,Urban
LP001138,1.0,1.0,1,No,5649,44.0,360.0,1.0,Urban
LP001144,1.0,1.0,1,No,5821,144.0,360.0,1.0,Urban
LP001151,0.0,0.0,1,No,4000,144.0,360.0,1.0,Semiurban
LP001155,0.0,1.0,0,No,1928,100.0,360.0,1.0,Semiurban
LP001157,0.0,0.0,1,No,3086,120.0,360.0,1.0,Semiurban
LP001194,1.0,1.0,1,No,2708,97.0,360.0,1.0,Semiurban
LP001195,1.0,1.0,1,No,2132,96.0,360.0,1.0,Semiurban
LP001198,1.0,1.0,1,No,8080,180.0,360.0,1.0,Urban
LP001199,1.0,1.0,0,No,3357,144.0,360.0,1.0,Urban
LP001205,1.0,1.0,1,No,2500,120.0,360.0,1.0,Urban
LP001206,1.0,1.0,1,No,3029,99.0,360.0,1.0,Urban
LP001233,1.0,1.0,1,No,10750,312.0,360.0,1.0,Urban
LP001238,1.0,1.0,0,Yes,7100,125.0,60.0,1.0,Urban
LP001243,1.0,1.0,1,No,3208,172.0,360.0,1.0,Urban
LP001245,1.0,1.0,0,Yes,1875,97.0,360.0,1.0,Semiurban
LP001248,1.0,0.0,1,No,3500,81.0,300.0,1.0,Semiurban
LP001253,1.0,1.0,1,Yes,5266,187.0,360.0,1.0,Semiurban
LP001264,1.0,1.0,0,Yes,3333,130.0,360.0,,Semiurban
LP001265,0.0,0.0,1,No,3846,111.0,360.0,1.0,Semiurban
LP001266,1.0,1.0,1,Yes,2395,,360.0,1.0,Semiurban
LP001275,1.0,1.0,1,No,3988,50.0,240.0,1.0,Urban
LP001279,1.0,0.0,1,No,2366,136.0,360.0,1.0,Semiurban
LP001280,1.0,1.0,0,No,3333,99.0,360.0,,Semiurban
LP001282,1.0,1.0,1,No,2500,104.0,360.0,1.0,Semiurban
LP001289,1.0,0.0,1,No,8566,210.0,360.0,1.0,Urban
LP001310,1.0,1.0,1,No,5695,175.0,360.0,1.0,Semiurban
LP001316,1.0,1.0,1,No,2958,131.0,360.0,1.0,Semiurban
LP001318,1.0,1.0,1,No,6250,188.0,180.0,1.0,Semiurban
LP001319,1.0,1.0,0,No,3273,81.0,360.0,1.0,Urban
LP001322,1.0,0.0,1,No,4133,122.0,360.0,1.0,Semiurban
LP001325,1.0,0.0,0,No,3620,25.0,120.0,1.0,Semiurban
LP001327,0.0,1.0,1,No,2484,137.0,360.0,1.0,Semiurban
LP001333,1.0,1.0,1,No,1977,50.0,360.0,1.0,Semiurban
LP001334,1.0,1.0,0,No,4188,115.0,180.0,1.0,Semiurban
LP001343,1.0,1.0,1,No,1759,131.0,360.0,1.0,Semiurban
LP001345,1.0,1.0,0,No,4288,133.0,180.0,1.0,Urban
LP001349,1.0,0.0,1,No,4843,151.0,360.0,1.0,Semiurban
LP001350,1.0,1.0,1,No,13650,,360.0,1.0,Urban
LP001356,1.0,1.0,1,No,4652,,360.0,1.0,Semiurban
LP001357,1.0,,1,No,3816,160.0,360.0,1.0,Urban
LP001367,1.0,1.0,1,No,3052,100.0,360.0,1.0,Urban
LP001369,1.0,1.0,1,No,11417,225.0,360.0,1.0,Urban
LP001384,1.0,1.0,0,No,2071,94.0,480.0,1.0,Semiurban
LP001385,1.0,0.0,1,No,5316,136.0,360.0,1.0,Urban
LP001387,0.0,1.0,1,,2929,139.0,360.0,1.0,Semiurban
LP001392,0.0,0.0,1,Yes,7451,,360.0,1.0,Semiurban
LP001398,1.0,0.0,1,,5050,118.0,360.0,1.0,Semiurban
LP001401,1.0,1.0,1,No,14583,185.0,180.0,1.0,Rural
LP001404,0.0,1.0,1,No,3167,154.0,360.0,1.0,Semiurban
LP001405,1.0,1.0,1,No,2214,85.0,360.0,,Urban
LP001422,0.0,0.0,1,No,10408,259.0,360.0,1.0,Urban
LP001426,1.0,1.0,1,No,5667,180.0,360.0,1.0,Rural
LP001430,0.0,0.0,1,No,4166,44.0,360.0,1.0,Semiurban
LP001431,0.0,0.0,1,No,2137,137.0,360.0,0.0,Semiurban
LP001432,1.0,1.0,1,No,2957,81.0,360.0,1.0,Semiurban
LP001439,1.0,1.0,0,No,4300,194.0,360.0,1.0,Rural
LP001443,0.0,0.0,1,No,3692,93.0,360.0,,Rural
LP001448,,1.0,1,No,23803,370.0,360.0,1.0,Rural
LP001449,1.0,0.0,1,No,3865,,360.0,1.0,Rural
LP001469,1.0,0.0,1,Yes,20166,650.0,480.0,,Urban
