Loan_ID,Gender,Married,Education,Self_Employed,ApplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area
LP001003,1.0,1.0,1,No,4583,128.0,360.0,1.0,Rural
LP001014,1.0,1.0,1,No,3036,158.0,360.0,0.0,Semiurban
LP001020,1.0,1.0,1,No,12841,349.0,360.0,1.0,Semiurban
LP001029,1.0,0.0,1,No,1853,114.0,360.0,1.0,Rural
LP001036,0.0,0.0,1,No,3510,76.0,360.0,0.0,Urban
LP001038,1.0,1.0,0,No,4887,133.0,360.0,1.0,Rural
LP001043,1.0,1.0,0,No,7660,104.0,360.0,0.0,Urban
LP001047,1.0,1.0,0,No,2600,116.0,360.0,0.0,Semiurban
LP001050,,1.0,0,No,3365,112.0,360.0,0.0,Rural
LP001052,1.0,1.0,1,,3717,151.0,360.0,,Semiurban
LP001086,1.0,0.0,0,No,1442,35.0,360.0,1.0,Urban
LP001091,1.0,1.0,1,,4166,201.0,360.0,,Urban
LP001095,1.0,0.0,1,No,3167,74.0,360.0,1.0,Urban
LP001097,1.0,0.0,1,Yes,4692,106.0,360.0,1.0,Rural
LP001100,1.0,0.0,1,No,12500,320.0,360.0,1.0,Rural
LP001109,1.0,1.0,1,No,1828,100.0,,0.0,Urban
LP001119,1.0,0.0,1,No,3600,80.0,360.0,1.0,Urban
LP001146,0.0,1.0,1,No,2645,120.0,360.0,0.0,Urban
LP001164,0.0,0.0,1,No,4230,112.0,360.0,1.0,Semiurban
LP001179,1.0,1.0,1,No,4616,134.0,360.0,1.0,Urban
LP001186,0.0,1.0,1,Yes,11500,286.0,360.0,0.0,Urban
LP001197,1.0,1.0,1,No,3366,135.0,360.0,1.0,Rural
LP001207,1.0,1.0,0,Yes,2609,165.0,180.0,0.0,Rural
LP001213,1.0,1.0,1,No,4945,,360.0,0.0,Rural
LP001222,0.0,0.0,1,No,4166,116.0,360.0,0.0,Semiurban
LP001225,1.0,1.0,1,No,5726,258.0,360.0,1.0,Semiurban
LP001228,1.0,0.0,0,No,3200,126.0,180.0,0.0,Urban
LP001241,0.0,0.0,1,No,4300,136.0,360.0,0.0,Semiurban
LP001250,1.0,1.0,0,No,4755,95.0,,0.0,Semiurban
LP001255,1.0,0.0,1,No,3750,113.0,480.0,1.0,Urban
LP001256,1.0,0.0,1,No,3750,176.0,360.0,1.0,Urban
LP001259,1.0,1.0,1,Yes,1000,110.0,360.0,1.0,Urban
LP001263,1.0,1.0,1,No,3167,180.0,300.0,0.0,Semiurban
LP001267,0.0,1.0,1,No,1378,167.0,360.0,1.0,Urban
LP001273,1.0,1.0,1,No,6000,265.0,360.0,,Semiurban
LP001326,1.0,0.0,1,,6782,,360.0,,Urban
LP001370,1.0,0.0,0,,7333,120.0,360.0,1.0,Rural
LP001379,1.0,1.0,1,No,3800,216.0,360.0,0.0,Urban
LP001391,1.0,1.0,0,No,3572,152.0,,0.0,Rural
LP001421,1.0,1.0,1,No,5568,175.0,360.0,1.0,Rural
LP001451,1.0,1.0,1,Yes,10513,160.0,180.0,0.0,Urban
LP001465,1.0,1.0,1,No,6080,182.0,360.0,,Rural
LP001488,1.0,1.0,1,No,4000,290.0,360.0,1.0,Semiurban
LP001489,0.0,1.0,1,No,4583,84.0,360.0,1.0,Rural
LP001492,1.0,0.0,1,No,14999,242.0,360.0,0.0,Semiurban
LP001493,1.0,1.0,0,No,4200,129.0,360.0,1.0,Rural
LP001497,1.0,1.0,1,No,5042,185.0,360.0,1.0,Rural
LP001519,0.0,0.0,1,No,10000,225.0,360.0,1.0,Rural
LP001528,1.0,0.0,1,No,6277,118.0,360.0,0.0,Rural
LP001531,1.0,0.0,1,No,9166,244.0,360.0,1.0,Urban
LP001532,1.0,1.0,0,No,2281,113.0,360.0,1.0,Rural
LP001562,1.0,1.0,1,No,7933,275.0,360.0,1.0,Urban
LP001565,1.0,1.0,1,No,3089,121.0,360.0,0.0,Semiurban
LP001577,0.0,1.0,1,No,4583,112.0,360.0,1.0,Rural
LP001579,1.0,0.0,1,No,2237,63.0,480.0,0.0,Semiurban
LP001586,1.0,1.0,0,No,3522,81.0,180.0,1.0,Rural
LP001603,1.0,1.0,0,Yes,4344,87.0,360.0,1.0,Semiurban
LP001610,1.0,1.0,1,No,5516,495.0,360.0,0.0,Semiurban
LP001630,1.0,0.0,0,No,2333,102.0,480.0,0.0,Urban
LP001633,1.0,1.0,1,No,6400,180.0,360.0,0.0,Urban
LP001634,1.0,0.0,1,No,1916,67.0,360.0,,Rural
LP001637,1.0,1.0,1,No,33846,260.0,360.0,1.0,Semiurban
LP001641,1.0,1.0,1,Yes,2178,66.0,300.0,0.0,Rural
LP001656,1.0,0.0,1,No,12000,164.0,360.0,1.0,Semiurban
LP001657,1.0,1.0,0,No,6033,160.0,360.0,1.0,Urban
LP001665,1.0,1.0,1,No,3125,170.0,360.0,1.0,Semiurban
LP001673,1.0,0.0,1,Yes,11000,83.0,360.0,1.0,Urban
LP001682,1.0,1.0,0,No,3992,,180.0,1.0,Urban
LP001702,1.0,0.0,1,No,3418,127.0,360.0,1.0,Semiurban
LP001708,0.0,0.0,1,No,10000,214.0,360.0,1.0,Semiurban
LP001711,1.0,1.0,1,No,3430,128.0,360.0,0.0,Semiurban
LP001722,1.0,1.0,1,No,150,135.0,360.0,1.0,Rural
LP001732,1.0,1.0,1,,5000,72.0,360.0,0.0,Semiurban
LP001736,1.0,1.0,1,No,2221,60.0,360.0,0.0,Urban
LP001751,1.0,1.0,1,No,3250,170.0,360.0,1.0,Rural
LP001754,1.0,1.0,0,Yes,4735,138.0,360.0,1.0,Urban
LP001786,1.0,1.0,1,,5746,255.0,360.0,,Urban
LP001800,1.0,1.0,0,No,2510,140.0,180.0,1.0,Urban
LP001813,1.0,0.0,1,Yes,6050,120.0,180.0,1.0,Urban
LP001835,1.0,1.0,0,No,1668,201.0,360.0,0.0,Semiurban
LP001836,0.0,0.0,1,No,3427,138.0,360.0,1.0,Urban
LP001844,1.0,0.0,1,Yes,16250,192.0,360.0,0.0,Urban
LP001849,1.0,0.0,0,No,6045,115.0,360.0,0.0,Rural
LP001854,1.0,1.0,1,No,5250,94.0,360.0,1.0,Urban
