Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,1.0,0.0,0,1,0.0,5849,0.0,0.0,360.0,1.0,1,Y
LP001005,1.0,1.0,0,1,1.0,3000,0.0,66.0,360.0,1.0,1,Y
LP001006,1.0,1.0,0,0,0.0,2583,2358.0,120.0,360.0,1.0,1,Y
LP001008,1.0,0.0,0,1,0.0,6000,0.0,141.0,360.0,1.0,1,Y
LP001011,1.0,1.0,2,1,1.0,5417,4196.0,267.0,360.0,1.0,1,Y
LP001013,1.0,1.0,0,0,0.0,2333,1516.0,95.0,360.0,1.0,1,Y
LP001018,1.0,1.0,2,1,0.0,4006,1526.0,168.0,360.0,1.0,1,Y
LP001024,1.0,1.0,2,1,0.0,3200,700.0,70.0,360.0,1.0,1,Y
LP001027,1.0,1.0,2,1,0.0,2500,1840.0,109.0,360.0,1.0,1,Y
LP001028,1.0,1.0,2,1,0.0,3073,8106.0,200.0,360.0,1.0,1,Y
LP001030,1.0,1.0,2,1,0.0,1299,1086.0,17.0,120.0,1.0,1,Y
LP001032,1.0,0.0,0,1,0.0,4950,0.0,125.0,360.0,1.0,1,Y
LP001034,1.0,0.0,1,0,0.0,3596,0.0,100.0,240.0,0.0,1,Y
LP001041,1.0,1.0,0,1,0.0,2600,3500.0,115.0,0.0,1.0,1,Y
LP001046,1.0,1.0,1,1,0.0,5955,5625.0,315.0,360.0,1.0,1,Y
LP001066,1.0,1.0,0,1,1.0,9560,0.0,191.0,360.0,1.0,3,Y
LP001068,1.0,1.0,0,1,0.0,2799,2253.0,122.0,360.0,1.0,3,Y
LP001073,1.0,1.0,2,0,0.0,4226,1040.0,110.0,360.0,1.0,1,Y
LP001087,0.0,0.0,2,1,0.0,3750,2083.0,120.0,360.0,1.0,3,Y
LP001098,1.0,1.0,0,1,0.0,3500,1667.0,114.0,360.0,1.0,3,Y
LP001106,1.0,1.0,0,1,0.0,2275,2067.0,0.0,360.0,1.0,1,Y
LP001112,0.0,1.0,0,1,0.0,3667,1459.0,144.0,360.0,1.0,3,Y
LP001114,1.0,0.0,0,1,0.0,4166,7210.0,184.0,360.0,1.0,1,Y
LP001116,1.0,0.0,0,0,0.0,3748,1668.0,110.0,360.0,1.0,3,Y
LP001120,1.0,0.0,0,1,0.0,1800,1213.0,47.0,360.0,1.0,1,Y
LP001123,1.0,1.0,0,1,0.0,2400,0.0,75.0,360.0,0.0,1,Y
LP001131,1.0,1.0,0,1,0.0,3941,2336.0,134.0,360.0,1.0,3,Y
LP001136,1.0,1.0,0,0,1.0,4695,0.0,96.0,0.0,1.0,1,Y
LP001137,0.0,0.0,0,1,0.0,3410,0.0,88.0,0.0,1.0,1,Y
LP001138,1.0,1.0,1,1,0.0,5649,0.0,44.0,360.0,1.0,1,Y
LP001144,1.0,1.0,0,1,0.0,5821,0.0,144.0,360.0,1.0,1,Y
LP001151,0.0,0.0,0,1,0.0,4000,2275.0,144.0,360.0,1.0,3,Y
LP001155,0.0,1.0,0,0,0.0,1928,1644.0,100.0,360.0,1.0,3,Y
LP001157,0.0,0.0,0,1,0.0,3086,0.0,120.0,360.0,1.0,3,Y
LP001194,1.0,1.0,2,1,0.0,2708,1167.0,97.0,360.0,1.0,3,Y
LP001195,1.0,1.0,0,1,0.0,2132,1591.0,96.0,360.0,1.0,3,Y
LP001198,1.0,1.0,1,1,0.0,8080,2250.0,180.0,360.0,1.0,1,Y
LP001199,1.0,1.0,2,0,0.0,3357,2859.0,144.0,360.0,1.0,1,Y
LP001205,1.0,1.0,0,1,0.0,2500,3796.0,120.0,360.0,1.0,1,Y
LP001206,1.0,1.0,3,1,0.0,3029,0.0,99.0,360.0,1.0,1,Y
LP001233,1.0,1.0,1,1,0.0,10750,0.0,312.0,360.0,1.0,1,Y
LP001238,1.0,1.0,3,0,1.0,7100,0.0,125.0,60.0,1.0,1,Y
LP001243,1.0,1.0,0,1,0.0,3208,3066.0,172.0,360.0,1.0,1,Y
LP001245,1.0,1.0,2,0,1.0,1875,1875.0,97.0,360.0,1.0,3,Y
LP001248,1.0,0.0,0,1,0.0,3500,0.0,81.0,300.0,1.0,3,Y
LP001253,1.0,1.0,3,1,1.0,5266,1774.0,187.0,360.0,1.0,3,Y
LP001264,1.0,1.0,3,0,1.0,3333,2166.0,130.0,360.0,0.0,3,Y
LP001265,0.0,0.0,0,1,0.0,3846,0.0,111.0,360.0,1.0,3,Y
LP001266,1.0,1.0,1,1,1.0,2395,0.0,0.0,360.0,1.0,3,Y
